"AppId","AppDisplayName","AppOwnerOrganizationId","Source"
"69dda2a9-33ca-4ed0-83fb-a9b7b8973ff4","Azure Files","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"cfa8b339-82a2-471a-a3c9-0fc0be7a4093","Azure Key Vault","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"00000007-0000-0000-c000-000000000000","Dataverse","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"62fd1447-0ef3-4ab7-a956-7dd05232ecc1","Office Scripts Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"50d8616b-fd4f-4fac-a1c9-a6a9440d7fe0","OMSAuthorizationServicePROD","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"3340b944-b12e-47d0-b46b-35f08ec1d8ee","SPAuthEvent","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"00000006-0000-0ff1-ce00-000000000000","Microsoft Office 365 Portal","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"7dcff627-a295-4553-9229-b1f3513f82a8","Power Platform Data Analytics","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"cfbd4387-1a16-4945-83c0-ec10e46cd4da","Azure Security for IoT","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"354b5b6d-abd6-4736-9f51-1be80049b91f","Microsoft Mobile Application Management Backend","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"8f348934-64be-4bb2-bc16-c54c96789f43","EDU Assignments","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"372140e0-b3b7-4226-8ef9-d57986796201","Azure Windows VM Sign-In","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"b2cc270f-563e-4d8a-af47-f00963a71dcd","OneProfile Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"579d9c9d-4c83-4efc-8124-7eba65ed3356","Azure Compute","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"39624784-6cbe-4a60-afbe-9f46d10fdb27","Teams and Skype for Business Administration","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"eace8149-b661-472f-b40d-939f89085bd4","Substrate Instant Revocation Pipeline","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"2233b157-f44d-4812-b777-036cdaf9a96e","Azure Cloud Shell","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"00000005-0000-0ff1-ce00-000000000000","Viva Engage","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"fc68d9e5-1f76-45ef-99aa-214805418498","Azure AD Identity Protection","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"257601fd-462f-4a21-b623-7f719f0f90f4","Centralized Deployment","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"8bdebf23-c0fe-4187-a378-717ad86f6a53","ResourceHealthRP","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"b55b276d-2b09-4ad2-8de5-f09cf24ffba9","Microsoft Teams - Teams And Channels Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"d48cb907-3a0f-481e-a0d1-41097337a938","EAPortals-AAD-PROD-PME","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"51133ff5-8e0d-4078-bcca-84fb7f905b64","Microsoft Teams Mailhook","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
